X,Y,Elevation,Slope Angle,Geography,Rainfall,Rainfall Pattern,Soil Type,Livelihood,Industrial Activity,Pitmine Radius,Pitmine Depth,Risk
0,0,48.50606833,-0.921529424,valley,1721.395496,seasonal,sand,medium,high,404.9508578,38.64917671,0.477737967
0,1,45.71602817,-0.919395796,cliff,1328.690385,irregular,clay,low,high,421.040073,27.62819253,0.470156889
0,2,43.02227095,-0.92162362,hill,1301.627449,uniform,sand,medium,medium,373.0031551,54.27997267,0.448044846
0,3,40.51979046,-0.931584387,valley,1161.48052,uniform,sand,high,medium,377.4533983,81.5932922,0.41251298
0,4,38.2973736,-0.951650384,valley,1179.514138,uniform,rocky,high,low,360.398163,57.32967563,0.365837107
0,5,36.43305413,-0.98328431,cliff,1120.972909,uniform,sand,high,medium,246.2683322,37.01860777,0.311810429
0,6,34.99037087,-1.027129761,hill,1109.319182,seasonal,loam,medium,medium,327.3381366,33.5159205,0.256608392
0,7,34.01543001,-1.083102588,hill,1359.260149,irregular,sand,medium,low,327.5584066,53.64114582,0.210593247
0,8,33.5347718,-1.150483115,valley,919.2506311,uniform,rocky,medium,low,291.9892464,45.90385192,0.189080905
0,9,33.55404144,-1.228009231,plain,877.2318514,uniform,rocky,high,high,321.7590666,66.32697126,0.202513056
0,10,34.05746424,-1.313970348,valley,863.0414847,irregular,sand,high,low,229.7504156,11.14678269,0.24277847
0,11,35.00812505,-1.406302227,valley,1813.696364,uniform,sand,high,medium,355.2323551,66.9142645,0.293853104
0,12,36.34905198,-1.502682672,valley,1359.102871,irregular,sand,low,low,152.1514501,52.76102181,0.344255476
0,13,38.00510435,-1.600628091,valley,1291.347661,seasonal,clay,medium,high,433.9795401,82.03236338,0.387269169
0,14,39.88566488,-1.697590927,cliff,882.7455989,uniform,loam,medium,medium,432.9193168,35.83719868,0.418976719
0,15,41.88813622,-1.791057958,hill,1387.00269,irregular,sand,high,high,274.0379574,80.62406661,0.437281674
0,16,43.90224169,-1.878649459,cliff,1165.028596,uniform,loam,high,medium,273.4667382,96.06400084,0.441622227
0,17,45.81513027,-1.958219236,cliff,1264.250682,seasonal,rocky,high,low,229.5714586,50.84299638,0.433026209
0,18,47.5172859,-2.027955534,cliff,907.0139052,irregular,loam,high,low,70.58405996,42.87779435,0.414343525
0,19,48.909241,-2.0864828,valley,1248.080657,irregular,sand,low,low,114.4692701,87.00217899,0.390501946
0,20,49.9090943,-2.132964325,plain,1072.849939,irregular,rocky,high,low,371.5196722,31.2015138,0.368382524
0,21,50.46083288,-2.167205747,hill,970.3166529,uniform,sand,high,low,114.2334498,75.94795854,0.355400377
0,22,50.54345853,-2.189759429,plain,1420.231901,irregular,loam,high,medium,235.4202505,61.54066073,0.356043815
0,23,50.18091831,-2.202029697,cliff,738.6876574,irregular,loam,medium,high,209.4017439,48.82159232,0.368198765
0,24,49.45283942,-2.206378952,cliff,1369.432879,irregular,clay,medium,high,148.7868246,27.29333925,0.383149238
0,25,48.50606833,-2.206234647,plain,1405.34584,seasonal,loam,high,high,287.9780815,11.19989448,0.389844263
0,26,47.55884793,-2.202608741,plain,936.1068973,irregular,rocky,medium,high,213.3818417,58.45358406,0.382666907
0,27,46.82798274,-2.184289801,plain,953.9014617,irregular,sand,low,low,391.7897253,15.21302339,0.365568891
0,28,46.45888511,-2.140004984,cliff,1133.092296,irregular,loam,low,high,337.5374913,19.58746714,0.34801952
0,29,46.53057054,-2.061913266,cliff,1284.610863,seasonal,sand,low,high,266.2419198,64.39740786,0.338050613
0,30,47.06703072,-1.945276508,hill,1154.143502,irregular,clay,low,medium,308.9649807,31.66135331,0.338664598
0,31,48.04781587,-1.788130851,hill,1330.068738,uniform,sand,medium,medium,244.0305795,72.02938546,0.347150706
0,32,49.41782673,-1.590958439,cliff,1728.893896,irregular,sand,medium,low,402.5246367,23.32595176,0.357526025
0,33,51.09631597,-1.356359471,plain,1047.684969,uniform,loam,high,medium,482.186104,16.33927891,0.363656707
0,34,52.98509905,-1.088724577,plain,685.4460088,seasonal,loam,low,low,395.0773781,57.15845099,0.360989811
0,35,54.97597467,-0.793907526,hill,1447.777075,seasonal,sand,low,high,437.7674021,31.4672484,0.346998586
0,36,56.95735462,-0.478898255,cliff,1704.994373,irregular,clay,medium,high,402.6486539,48.43657969,0.32114127
0,37,58.82010316,-0.151496236,hill,1317.830509,irregular,rocky,low,low,233.4252759,19.82732665,0.284885346
0,38,60.46258586,0.180015841,hill,873.6753974,seasonal,rocky,medium,high,434.3710469,36.34253246,0.242216575
0,39,61.79492797,0.50719805,valley,1162.832291,seasonal,rocky,medium,low,67.07746491,15.3309256,0.201233952
0,40,62.74248226,0.821778885,valley,864.4429547,seasonal,rocky,low,medium,448.4994336,82.9664491,0.176597905
0,41,63.24850632,1.115980587,valley,1392.856648,uniform,sand,high,medium,261.5064602,10.39060575,0.184835264
0,42,63.27604939,1.382844149,plain,794.6128792,uniform,sand,medium,high,198.4972616,96.36185726,0.226176226
0,43,62.80904864,1.616553988,cliff,1109.961364,irregular,sand,medium,medium,286.3229409,34.50411851,0.286052642
0,44,61.85263501,1.812762287,cliff,898.6986521,uniform,sand,low,low,359.5813935,17.01446709,0.351667531
0,45,60.43264844,1.968913022,cliff,1238.047406,seasonal,clay,medium,medium,326.8822122,86.96777996,0.415135293
0,46,58.59436265,2.084565643,cliff,1090.097497,irregular,sand,high,high,328.1452428,70.15566374,0.471479409
0,47,56.40041941,2.161718443,valley,1253.028631,uniform,sand,low,high,94.9805508,86.75202523,0.517384622
0,48,53.92797227,2.205131594,plain,1206.705166,irregular,sand,medium,low,378.0475986,59.15756138,0.550736822
0,49,51.2650398,2.222649851,plain,904.0022917,uniform,loam,low,medium,370.2602168,33.1934685,0.570528675
0,50,48.50606833,2.225524934,valley,1388.063119,irregular,rocky,high,medium,102.0905158,18.86896122,0.580357732
0,51,45.69316869,2.223855936,plain,1185.370304,seasonal,loam,low,low,69.61518534,59.2359855,0.595546559
0,52,42.69581311,2.211759322,valley,903.4412976,seasonal,clay,high,low,492.260113,68.26333026,0.623794912
0,53,39.43631749,2.181203849,cliff,1872.277967,seasonal,clay,low,low,385.8087303,50.21409592,0.655545099
0,54,35.92928389,2.12656999,valley,1342.92905,uniform,rocky,high,high,322.5991711,39.91552029,0.679547308
0,55,32.25721879,2.0444263,cliff,1154.021834,irregular,rocky,low,high,192.3120739,86.38777186,0.687171765
0,56,28.54859237,1.933304842,cliff,1624.561358,irregular,sand,low,low,174.0458651,67.60132106,0.67263082
0,57,24.95833887,1.793475656,hill,1752.544683,irregular,rocky,medium,medium,110.9178677,23.6333152,0.632959781
0,58,21.65079805,1.626720287,valley,1156.395173,uniform,clay,low,low,323.8444392,92.582098,0.567816574
0,59,18.78509783,1.436104364,hill,1304.219246,seasonal,sand,medium,low,309.1926063,25.37960116,0.479234874
0,60,16.50297785,1.225749223,valley,903.5991546,seasonal,clay,high,low,470.976548,90.29567486,0.371526841
0,61,14.9190543,1.000602594,valley,1155.842175,irregular,loam,high,low,332.5169712,13.77285256,0.25204989
0,62,14.11352573,0.766208327,hill,1140.281234,irregular,sand,low,high,253.1563667,97.37759593,0.138223108
0,63,14.12732,0.528475182,hill,1255.44811,uniform,sand,medium,high,453.7817496,55.07240293,0.107889483
0,64,14.9596823,0.29344466,valley,1299.828144,irregular,loam,medium,medium,326.3251803,21.08111828,0.202466172
0,65,16.56820428,0.067057893,plain,1367.948535,irregular,clay,low,high,371.4142115,19.73919808,0.317236996
0,66,18.87129429,-0.14507842,cliff,1271.292797,uniform,rocky,medium,low,332.0004042,47.61271541,0.421836817
0,67,21.75308863,-0.337927017,hill,836.777212,irregular,sand,low,low,126.247572,48.1130643,0.507150155
0,68,25.07080404,-0.507256034,cliff,918.4598683,seasonal,rocky,low,low,105.732555,62.28555981,0.568422665
0,69,28.66453111,-0.649875911,plain,1036.077714,uniform,loam,low,medium,331.0584622,42.15264945,0.603422199
0,70,32.36946893,-0.763877245,plain,1115.327822,seasonal,clay,medium,high,461.3029477,55.82849841,0.612363769
0,71,36.03060074,-0.84886959,plain,1515.232287,irregular,clay,low,low,483.6455425,64.3789815,0.598158835
0,72,39.51981072,-0.906221212,hill,851.1183039,irregular,clay,high,low,497.9383114,87.58218737,0.5667295
0,73,42.75544184,-0.939299783,plain,1092.775486,uniform,rocky,low,low,429.7989108,96.2989835,0.527300806
0,74,45.72429486,-0.953714032,hill,1485.902849,uniform,rocky,medium,medium,213.7491863,89.48566676,0.492632353
0,75,48.50606833,-0.957556339,plain,1110.036758,uniform,rocky,low,high,326.0835461,17.36169653,0.473526993
